NORAD,Longitude,COSPAR,SATNAME,COUNTRY,LAUNCH,COMPLIANCE
39612,55.99988971,2014-010A,EXPRESS AT1,CIS,3/15/14,Yes
42698,56.50188876,2017-025A,INMARSAT 5-F4,IM,5/15/17,No
36032,57.01705535,2009-058A,NSS 12,SES,10/29/09,Yes
34713,57.5070307,2009-017A,WGS F2 (USA 204),US,4/4/09,No
39728,58.50403799,2014-023B,KAZSAT 3,KAZ,4/28/14,Yes
41748,60.00924585,2016-053B,INTELSAT 33E,ITSO,8/24/16,Yes
44071,60.28773093,2019-014A,WGS 10 (USA 291),US,3/16/19,Yes
29155,61.29043804,2006-018A,GOES 13,US,5/24/06,Yes
44476,61.954241,2019-049B,INTELSAT 39,ITSO,8/6/19,Yes
39476,62.62412845,2013-073A,INMARSAT 5-F1,IM,12/8/13,Yes
43864,62.88547855,2018-105A,GSAT 7A,IND,12/19/18,Yes
35943,63.05568947,2009-054B,COMSATBW-1,GER,9/30/09,Yes
28899,63.89239536,2005-044A,INMARSAT 4-F2,IM,11/8/05,Yes
39237,65.00514035,2013-045A,AMOS 4,ISRA,8/31/13,Yes
37481,65.73067523,2011-019A,SBIRS GEO 1 (USA 230),US,5/7/11,Yes
37238,66.02717456,2010-065B,INTELSAT 17,ITSO,11/26/10,Yes
41911,66.43980549,2017-001A,TJS-2,PRC,1/5/17,Yes
38740,68.49476002,2012-043A,INTELSAT 20,ITSO,8/2/12,Yes
41747,68.4985407,2016-053A,INTELSAT 36,ITSO,8/24/16,Yes
43867,70.00946467,2018-107A,OBJECT A,CIS,12/21/18,Yes
39020,70.46284343,2012-069A,EUTE 70B,EUTE,12/3/12,Yes
38098,72.12691168,2012-011A,INTELSAT 22,ITSO,3/25/12,Yes
41752,73.89443202,2016-054A,INSAT 3DR,IND,9/8/16,Yes
39234,73.93460235,2013-044B,GSAT 7,IND,8/29/13,Yes
39498,73.97451158,2014-001A,GSAT 14,IND,1/5/14,Yes
41793,74.00400444,2016-060A,GSAT 18,IND,10/5/16,Yes
43824,74.05259565,2018-100B,GSAT 11,IND,12/4/18,Yes
41588,74.77624939,2016-038A,ABS 2A,BERM,6/15/16,No
39508,74.96337864,2014-006A,ABS 2,PRC,2/6/14,No
